Date,Open,High,Low,Close,Adj Close,Volume,upper,lower,rsi,signal
2013-03-14,5845.9501953125,5920.14990234375,5791.75,5908.9501953125,5908.9501953125,149000,6009.154170060539,5683.20588853321,59.335166225555405,
2013-03-15,5914.89990234375,5945.64990234375,5861.0,5872.60009765625,5872.60009765625,152200,6007.759218145295,5683.120859979705,51.235037725558975,0
2013-03-18,5816.75,5850.2001953125,5814.35009765625,5835.25,5835.25,102700,6002.734528634961,5681.850529958789,43.853433546265734,0
2013-03-19,5859.5,5863.60009765625,5724.2998046875,5745.9501953125,5745.9501953125,182300,5991.674299718389,5673.53575887536,31.027886445407063,0
2013-03-20,5740.5498046875,5745.2998046875,5682.2998046875,5694.39990234375,5694.39990234375,187600,5981.744206900347,5658.600861459027,25.800723317054093,0
2013-03-21,5705.89990234375,5757.75,5647.9501953125,5658.75,5658.75,179200,5986.5099942648585,5634.485074094516,22.636087895969126,0
2013-03-22,5659.7998046875,5691.4501953125,5631.7998046875,5651.35009765625,5651.35009765625,165300,5989.130044707509,5611.970052948741,21.965011253057042,0
2013-03-25,5707.2998046875,5718.39990234375,5624.39990234375,5633.85009765625,5633.85009765625,150400,5990.205338864682,5588.804768557193,20.260448070360056,0
2013-03-26,5613.75,5655.2998046875,5612.0498046875,5641.60009765625,5641.60009765625,126500,5994.629418564307,5572.405688857567,23.418717724240224,0
2013-03-28,5647.75,5692.9501953125,5604.85009765625,5682.5498046875,5682.5498046875,209700,5993.529237925109,5562.070859731141,38.790510365408856,0
2013-04-01,5697.35009765625,5720.9501953125,5675.89990234375,5704.39990234375,5704.39990234375,97800,5993.215936369031,5563.519171052844,45.761485012034846,0
2013-04-02,5701.7001953125,5754.60009765625,5687.14990234375,5748.10009765625,5748.10009765625,106400,5993.375008051548,5566.200089604702,57.4041684124563,0
2013-04-03,5740.2001953125,5744.9501953125,5650.10009765625,5672.89990234375,5672.89990234375,140700,5994.440110480472,5562.574977410152,39.77386097819161,0
2013-04-04,5640.64990234375,5644.4501953125,5565.64990234375,5574.75,5574.75,134600,6002.336573401769,5533.7285144888565,26.85561183765475,0
2013-04-05,5568.10009765625,5577.2998046875,5534.7001953125,5553.25,5553.25,137500,6006.421122896969,5503.108955228032,24.743141687977825,0
2013-04-08,5550.5,5569.2001953125,5537.0498046875,5542.9501953125,5542.9501953125,97000,6001.836803245389,5475.658313942111,23.672671500385405,0
2013-04-09,5568.75,5603.0498046875,5487.0,5495.10009765625,5495.10009765625,138200,5981.848256822989,5450.5868505988865,19.07259881923933,0
2013-04-10,5536.25,5569.25,5477.2001953125,5558.7001953125,5558.7001953125,128600,5948.964398293465,5445.105718894036,38.22039343083926,0
2013-04-11,5601.64990234375,5610.64990234375,5542.85009765625,5594.0,5594.0,146800,5914.921909714395,5447.138197707481,46.63067678021788,0
2013-04-12,5520.7001953125,5544.5,5494.89990234375,5528.5498046875,5528.5498046875,127300,5893.825395475753,5435.9696728836225,35.79017850922486,0
2013-04-15,5508.5,5592.85009765625,5500.2998046875,5568.39990234375,5568.39990234375,142900,5849.384915629691,5446.35512343281,45.11298789354083,0
2013-04-16,5562.4501953125,5699.25,5555.85009765625,5688.9501953125,5688.9501953125,142700,5811.823802899534,5465.551245928592,64.05722362413331,0
2013-04-17,5708.64990234375,5732.14990234375,5669.0,5688.7001953125,5688.7001953125,154600,5780.163988630727,5482.556079728648,64.00224982835122,0
2013-04-18,5682.7001953125,5794.35009765625,5681.85009765625,5783.10009765625,5783.10009765625,149900,5788.81658636308,5477.61847223067,74.08119980040202,0
2013-04-22,5789.85009765625,5844.85009765625,5789.7998046875,5834.39990234375,5834.39990234375,135100,5818.368045559839,5462.067013033911,78.08293026163398,0
2013-04-23,5843.10009765625,5844.2998046875,5791.5498046875,5836.89990234375,5836.89990234375,132200,5847.808726828543,5450.441321999583,78.27904820673413,Sell
2013-04-25,5856.10009765625,5924.60009765625,5853.2998046875,5916.2998046875,5916.2998046875,199600,5894.241238291862,5430.503781239388,83.80281744652068,0
2013-04-26,5899.75,5907.0498046875,5860.5,5871.4501953125,5871.4501953125,141300,5923.652645406671,5424.852383890205,71.48118228986456,Sell
2013-04-29,5877.60009765625,5918.64990234375,5868.7998046875,5904.10009765625,5904.10009765625,118900,5956.399305346617,5418.355723950258,74.72731040728178,0
2013-04-30,5932.60009765625,5962.2998046875,5867.7998046875,5930.2001953125,5930.2001953125,153200,5989.82117112816,5409.698897231216,77.21514705441672,0
2013-05-02,5911.39990234375,6019.4501953125,5910.9501953125,5999.35009765625,5999.35009765625,162400,6034.05536490118,5394.959722989444,82.64631080918427,0
2013-05-03,5993.5,6000.2998046875,5930.14990234375,5944.0,5944.0,145800,6059.79772250995,5388.807355615049,67.24912439398209,0
2013-05-06,5944.89990234375,5976.5,5928.4501953125,5971.0498046875,5971.0498046875,110200,6091.179874356364,5387.240194003011,70.47491411371905,0
2013-05-07,5983.4501953125,6050.5,5982.9501953125,6043.5498046875,6043.5498046875,136400,6130.583107602922,5394.716941225203,77.57794459523382,0
2013-05-08,6064.14990234375,6083.5498046875,6024.9501953125,6069.2998046875,6069.2998046875,122300,6166.7869330138,5410.118096283075,79.66318407722656,0
2013-05-09,6078.35009765625,6084.7001953125,6040.4501953125,6050.14990234375,6050.14990234375,110000,6190.8513739851405,5436.7736260148595,73.5582304778575,0
2013-05-10,6046.25,6105.2998046875,6045.60009765625,6094.75,6094.75,111400,6209.314457507906,5478.2755327264695,78.22249631301031,0
2013-05-13,6098.2001953125,6104.9501953125,5972.89990234375,5980.4501953125,5980.4501953125,107900,6209.196676406416,5520.568313827958,50.712163562752494,0
2013-05-14,5989.7001953125,6026.2001953125,5970.0498046875,5995.39990234375,5995.39990234375,119300,6208.981269551824,5560.923710916925,53.29049011965858,0
2013-05-15,6018.85009765625,6157.10009765625,6018.85009765625,6146.75,6146.75,153900,6213.619403478599,5618.105596521401,71.44058102894351,0
2013-05-16,6128.25,6187.2998046875,6128.25,6169.89990234375,6169.89990234375,158600,6216.159906244251,5675.715093755749,73.34188124074328,0
2013-05-17,6172.9501953125,6199.9501953125,6146.14990234375,6187.2998046875,6187.2998046875,147300,6233.088856665016,5708.621104272484,74.85191003175723,0
2013-05-20,6198.0,6229.4501953125,6146.0498046875,6156.89990234375,6156.89990234375,122300,6232.981807355286,5755.548124285339,66.9062653220319,0
2013-05-21,6152.35009765625,6180.25,6102.35009765625,6114.10009765625,6114.10009765625,130600,6233.229480127768,5788.400451512858,56.73195759323175,0
2013-05-22,6127.0498046875,6147.60009765625,6074.4501953125,6094.5,6094.5,133800,6232.813717330109,5814.826224076141,52.356658970092454,0
2013-05-23,6050.39990234375,6081.4501953125,5955.7001953125,5967.0498046875,5967.0498046875,198900,6222.220596194919,5838.434335445706,32.68638699712625,0
2013-05-24,6010.7001953125,6015.2998046875,5936.7998046875,5983.5498046875,5983.5498046875,161600,6219.428229886047,5847.951701754579,36.39857506353997,0
2013-05-27,5989.39990234375,6099.89990234375,5975.5498046875,6083.14990234375,6083.14990234375,115100,6214.570386036572,5873.979516307178,54.55320486238162,0
2013-05-28,6086.35009765625,6127.64990234375,6055.39990234375,6111.25,6111.25,139700,6213.869876033516,5895.395016544609,58.55808630927192,0
2013-05-29,6120.4501953125,6125.0498046875,6069.7998046875,6104.2998046875,6104.2998046875,120200,6212.65981419918,5914.015039316446,57.06553013900758,0
2013-05-30,6072.14990234375,6133.75,6072.14990234375,6124.0498046875,6124.0498046875,194100,6218.056468889392,5921.088355329359,60.49878177086191,0
2013-05-31,6098.7001953125,6106.25,5975.5498046875,5985.9501953125,5985.9501953125,175300,6213.731398800354,5929.608444949646,36.20568449586292,0
2013-06-03,5997.35009765625,6011.0,5916.35009765625,5939.2998046875,5939.2998046875,112100,6217.4873329843,5922.6775107657,31.137382928464774,0
2013-06-04,5941.10009765625,5981.60009765625,5910.25,5919.4501953125,5919.4501953125,114500,6225.72534882353,5902.02953398897,29.06025595107664,0
2013-06-05,5908.2998046875,5935.2001953125,5883.7001953125,5923.85009765625,5923.85009765625,110200,6230.08058061468,5883.129331494694,30.29706966987125,0
2013-06-06,5895.0,5956.5498046875,5869.5,5921.39990234375,5921.39990234375,114200,6233.903779832938,5866.431132276436,29.948151479727514,0
2013-06-07,5900.0498046875,5972.7001953125,5871.2998046875,5881.0,5881.0,118300,6236.6712850234535,5842.288627085921,24.39036204220328,0
2013-06-10,5907.89990234375,5931.64990234375,5857.39990234375,5878.0,5878.0,100100,6242.99586808009,5825.719024498036,23.993582428993406,0
2013-06-11,5848.75,5868.0498046875,5780.35009765625,5788.7998046875,5788.7998046875,180900,6259.517587619355,5788.537295193144,15.18158945235865,0
2013-06-12,5771.75,5792.89990234375,5738.60009765625,5760.2001953125,5760.2001953125,140400,6260.367125606016,5749.032776737734,13.30196764425206,0
2013-06-13,5709.35009765625,5729.85009765625,5683.10009765625,5699.10009765625,5699.10009765625,142000,6258.5556381291035,5703.764283745896,10.097084090033434,0
2013-06-14,5748.9501953125,5819.39990234375,5739.39990234375,5808.39990234375,5808.39990234375,124400,6231.982454031933,5692.447477608692,40.744030228919875,Buy
2013-06-17,5820.39990234375,5854.89990234375,5770.25,5850.0498046875,5850.0498046875,107200,6204.656464278228,5689.088457596773,48.73517110641218,0
2013-06-18,5841.89990234375,5863.39990234375,5804.2998046875,5813.60009765625,5813.60009765625,117500,6183.549557881821,5680.145363993179,42.68932284109592,0
2013-06-19,5805.75,5828.39990234375,5777.89990234375,5822.25,5822.25,115500,6162.228486945129,5674.241434929871,44.644881908086106,0
2013-06-20,5754.14990234375,5755.0,5645.64990234375,5655.89990234375,5655.89990234375,198400,6171.936517134877,5633.418414505747,24.976716690794873,0
2013-06-21,5639.89990234375,5686.14990234375,5616.85009765625,5667.64990234375,5667.64990234375,182400,6172.718293061359,5601.046648344892,27.677331613417422,0
2013-06-24,5638.0498046875,5640.0,5566.25,5590.25,5590.25,193500,6161.5023502182685,5562.972600953606,21.54641500317622,0
2013-06-25,5606.9501953125,5666.25,5570.25,5609.10009765625,5609.10009765625,196600,6132.6655436382935,5541.594417299206,26.31649751243313,0
2013-06-26,5627.9501953125,5635.25,5579.35009765625,5588.7001953125,5588.7001953125,160100,6098.593349439034,5524.106650560967,24.390607648276415,0
2013-06-27,5647.9501953125,5699.35009765625,5630.9501953125,5682.35009765625,5682.35009765625,239000,6041.004813032261,5537.525216264614,46.114433007282905,0
2013-06-28,5749.5,5852.9501953125,5749.5,5842.2001953125,5842.2001953125,214400,6017.876389188468,5546.278640108407,66.07773048840951,0
2013-07-01,5834.10009765625,5904.35009765625,5822.2001953125,5898.85009765625,5898.85009765625,144800,6010.815989043619,5549.29406955013,70.69485146627565,0
2013-07-02,5885.5,5898.7998046875,5852.2998046875,5857.5498046875,5857.5498046875,145700,6001.423483557419,5552.496535973831,63.17256176069213,0
2013-07-03,5811.9501953125,5815.0,5760.39990234375,5770.89990234375,5770.89990234375,160500,5982.860784413556,5555.764215586444,49.82490719395572,0
2013-07-04,5794.75,5848.2001953125,5786.0498046875,5836.9501953125,5836.9501953125,151900,5969.103081134259,5561.076948162616,57.9516002863886,0
2013-07-05,5889.9501953125,5900.4501953125,5858.4501953125,5867.89990234375,5867.89990234375,123600,5966.959857538773,5561.910161992478,61.46141714096408,0
2013-07-08,5833.14990234375,5833.85009765625,5775.5498046875,5811.5498046875,5811.5498046875,127600,5957.89156756833,5564.33343243167,51.98152536554737,0
2013-07-09,5834.60009765625,5864.9501953125,5834.60009765625,5859.0,5859.0,110400,5965.9332040465315,5563.311815484719,58.4563761501666,0
2013-07-10,5869.89990234375,5879.35009765625,5802.85009765625,5816.7001953125,5816.7001953125,117500,5970.078309740738,5564.816709790512,51.087256785766606,0
2013-07-11,5894.5,5948.85009765625,5887.9501953125,5935.10009765625,5935.10009765625,120200,5992.336380132457,5566.158639398794,65.63732183836409,0
2013-07-12,6000.5,6019.0,5951.14990234375,6009.0,6009.0,127700,6025.745801837623,5552.809227459252,71.89838353267676,0
2013-07-15,5991.2001953125,6038.2001953125,5980.9501953125,6030.7998046875,6030.7998046875,116300,6057.306239349812,5539.323789947063,73.60107958655131,0
2013-07-16,5930.7998046875,5966.0498046875,5910.9501953125,5955.25,5955.25,151200,6073.727581394442,5537.067438136808,58.78769633989272,0
2013-07-17,5972.25,5989.7998046875,5926.75,5973.2998046875,5973.2998046875,191500,6091.582469451359,5534.31753054864,61.03599534252069,0
